Emotions,Path
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-07-01-02-01-01.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-07-02-01-01-01.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-07-02-02-02-01.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-08-01-02-01-01.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-08-02-01-02-01.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-01-01-01-01-02.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-01-01-01-02-02.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-01-01-02-01-02.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-01-01-02-02-02.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-02-01-01-01-02.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-02-01-01-02-02.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-02-01-02-01-02.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-02-01-02-02-02.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-02-02-01-01-02.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-02-02-01-02-02.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-02-02-02-01-02.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-02-02-02-02-02.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-03-01-01-01-02.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-03-01-01-02-02.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-03-01-02-01-02.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-03-01-02-02-02.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-03-02-01-01-02.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-03-02-01-02-02.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-03-02-02-01-02.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-03-02-02-02-02.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-04-01-01-01-02.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-04-01-01-02-02.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-04-01-02-01-02.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-04-01-02-02-02.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-04-02-01-01-02.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-04-02-01-02-02.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-04-02-02-01-02.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-04-02-02-02-02.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-05-01-01-01-02.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-05-01-01-02-02.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-05-01-02-01-02.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-05-01-02-02-02.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-05-02-01-01-02.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-05-02-01-02-02.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-05-02-02-01-02.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-05-02-02-02-02.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-06-01-01-01-02.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-06-01-01-02-02.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-06-01-02-01-02.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-06-01-02-02-02.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-06-02-01-01-02.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-06-02-01-02-02.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-06-02-02-01-02.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-06-02-02-02-02.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-07-01-01-01-02.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-07-01-01-02-02.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-07-01-02-01-02.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-07-01-02-02-02.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-07-02-01-01-02.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-07-02-01-02-02.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-07-02-02-01-02.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-07-02-02-02-02.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-08-01-01-01-02.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-08-01-01-02-02.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-08-01-02-01-02.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-08-01-02-02-02.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-08-02-01-01-02.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-08-02-01-02-02.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-08-02-02-01-02.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_02/03-01-08-02-02-02-02.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-01-01-01-01-03.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-01-01-01-02-03.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-01-01-02-01-03.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-01-01-02-02-03.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-02-01-01-01-03.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-02-01-01-02-03.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-02-01-02-01-03.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-02-01-02-02-03.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-02-02-01-01-03.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-02-02-01-02-03.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-02-02-02-01-03.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-02-02-02-02-03.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-03-01-01-02-03.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-03-01-02-01-03.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-03-02-01-01-03.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-03-02-01-02-03.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-03-02-02-01-03.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-03-02-02-02-03.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-04-01-02-01-03.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-04-01-02-02-03.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-04-02-01-01-03.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-04-02-01-02-03.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-04-02-02-01-03.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-04-02-02-02-03.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-05-01-01-01-03.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-05-01-01-02-03.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-05-01-02-01-03.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-05-01-02-02-03.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-05-02-01-01-03.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-05-02-01-02-03.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-05-02-02-01-03.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-05-02-02-02-03.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-06-01-01-01-03.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-06-01-01-02-03.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-06-01-02-01-03.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-06-01-02-02-03.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-06-02-01-01-03.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-06-02-01-02-03.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-06-02-02-01-03.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-06-02-02-02-03.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-07-01-01-01-03.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-07-01-01-02-03.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-07-01-02-01-03.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-07-01-02-02-03.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-07-02-01-01-03.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-07-02-01-02-03.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-07-02-02-01-03.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-07-02-02-02-03.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-08-01-01-01-03.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-08-01-01-02-03.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-08-01-02-01-03.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-08-01-02-02-03.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-08-02-01-01-03.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-08-02-01-02-03.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-08-02-02-01-03.wav
surprise,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_03/03-01-08-02-02-02-03.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-01-01-01-01-04.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-01-01-01-02-04.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-01-01-02-01-04.wav
neutral,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-01-01-02-02-04.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-02-01-01-01-04.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-02-01-01-02-04.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-02-01-02-01-04.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-02-01-02-02-04.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-02-02-01-01-04.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-02-02-01-02-04.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-02-02-02-01-04.wav
calm,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-02-02-02-02-04.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-03-01-01-01-04.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-03-01-01-02-04.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-03-01-02-01-04.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-03-01-02-02-04.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-03-02-01-01-04.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-03-02-01-02-04.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-03-02-02-01-04.wav
happy,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-03-02-02-02-04.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-04-01-01-01-04.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-04-01-01-02-04.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-04-01-02-01-04.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-04-01-02-02-04.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-04-02-01-01-04.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-04-02-01-02-04.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-04-02-02-01-04.wav
sad,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-04-02-02-02-04.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-05-01-01-01-04.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-05-01-01-02-04.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-05-01-02-01-04.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-05-01-02-02-04.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-05-02-01-01-04.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-05-02-01-02-04.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-05-02-02-01-04.wav
angry,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-05-02-02-02-04.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-06-01-01-01-04.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-06-01-01-02-04.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-06-01-02-01-04.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-06-01-02-02-04.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-06-02-01-01-04.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-06-02-01-02-04.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-06-02-02-01-04.wav
fear,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-06-02-02-02-04.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-07-01-01-01-04.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-07-01-01-02-04.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-07-01-02-01-04.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-07-01-02-02-04.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-07-02-01-01-04.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-07-02-01-02-04.wav
disgust,C:\Neha\kaggle Projects\Ravdess\audio_speech_actors_01-24/Actor_04/03-01-07-02-02-01-04.wav
